Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan,Tahun
PAPUA,91.66,49.65,60.85,2019
PAPUA,91.32,52.21,62.73,2020
PAPUA,90.43,55.19,64.92,2021
PAPUA,90,56.54,65.39,2022
PAPUA,90.71,56.54,66.49,2023
PAPUA,95.29,71.52,85.84,2024
PAPUA,94.43,77.67,87.7,2025
PAPUA BARAT,40.69,49.02,45.26,2010
PAPUA BARAT,88.17,56.55,65.59,2011
PAPUA BARAT,82.89,56.45,64.33,2012
PAPUA BARAT,87.4,58.26,67.03,2013
PAPUA BARAT,88.29,57.29,66.87,2014
PAPUA BARAT,87.24,58.17,68.85,2015
PAPUA BARAT,86.85,57.35,68.76,2016
PAPUA BARAT,91.07,61.93,73.12,2017
PAPUA BARAT,92.64,66.78,77.12,2018
PAPUA BARAT,93.23,73.88,81.85,2019
PAPUA BARAT,90,72.3,79.56,2020
PAPUA BARAT,93.73,72.93,81.68,2021
PAPUA BARAT,93.53,72.9,81.57,2022
PAPUA BARAT,92.78,73.76,81.57,2023
PAPUA BARAT,94.21,77.31,82.38,2024
PAPUA BARAT,92.55,78.72,82.95,2025
PAPUA BARAT DAYA,,-,,2010
PAPUA BARAT DAYA,,-,,2011
PAPUA BARAT DAYA,,-,,2012
PAPUA BARAT DAYA,,-,,2013
PAPUA BARAT DAYA,,-,,2014
PAPUA BARAT DAYA,,-,,2015
PAPUA BARAT DAYA,,-,,2016
PAPUA BARAT DAYA,,-,,2017
PAPUA BARAT DAYA,,-,,2018
PAPUA BARAT DAYA,,-,,2019
PAPUA BARAT DAYA,,-,,2020
PAPUA BARAT DAYA,,-,,2021
PAPUA BARAT DAYA,,-,,2022
PAPUA BARAT DAYA,,-,,2023
PAPUA BARAT DAYA,88.48,74.05,81.68,2024
PAPUA BARAT DAYA,89.3,69.34,80.64,2025
PAPUA PEGUNUNGAN,,-,,2010
PAPUA PEGUNUNGAN,,-,,2011
PAPUA PEGUNUNGAN,,-,,2012
PAPUA PEGUNUNGAN,,-,,2013
