Provinsi,Tahun,Curah_Hujan_mm
PAPUA BARAT,2016,9.611284153005464
PAPUA BARAT,2017,10.731424657534246
PAPUA BARAT,2018,7.970821917808219
PAPUA BARAT,2019,8.033424657534246
PAPUA BARAT,2020,9.285628415300547
PAPUA BARAT,2021,9.78145205479452
PAPUA BARAT,2022,9.288849315068493
PAPUA BARAT,2023,8.197150684931508
PAPUA BARAT,2024,9.5675956284153
PAPUA BARAT,2025,10.062507122507123
PAPUA BARAT DAYA,2010,10.176054794520548
PAPUA BARAT DAYA,2011,9.657068493150685
PAPUA BARAT DAYA,2012,9.621666666666668
PAPUA BARAT DAYA,2013,9.687479452054793
PAPUA BARAT DAYA,2014,6.843890410958904
PAPUA BARAT DAYA,2015,5.746931506849315
PAPUA BARAT DAYA,2016,7.047540983606558
PAPUA BARAT DAYA,2017,9.847095890410959
PAPUA BARAT DAYA,2018,6.802794520547945
PAPUA BARAT DAYA,2019,6.087561643835617
PAPUA BARAT DAYA,2020,9.111338797814208
PAPUA BARAT DAYA,2021,8.23558904109589
PAPUA BARAT DAYA,2022,10.439753424657535
PAPUA BARAT DAYA,2023,5.838465753424657
PAPUA BARAT DAYA,2024,10.895546448087432
PAPUA BARAT DAYA,2025,10.557578347578348
PAPUA PEGUNUNGAN,2010,6.739424657534246
PAPUA PEGUNUNGAN,2011,7.194438356164383
PAPUA PEGUNUNGAN,2012,8.321120218579235
PAPUA PEGUNUNGAN,2013,8.039753424657535
PAPUA PEGUNUNGAN,2014,5.353534246575342
PAPUA PEGUNUNGAN,2015,4.103287671232877
PAPUA PEGUNUNGAN,2016,6.025628415300547
PAPUA PEGUNUNGAN,2017,6.547534246575342
PAPUA PEGUNUNGAN,2018,6.148630136986301
PAPUA PEGUNUNGAN,2019,6.227780821917808
PAPUA PEGUNUNGAN,2020,6.250710382513661
PAPUA PEGUNUNGAN,2021,6.040191780821918
PAPUA PEGUNUNGAN,2022,5.459506849315068
PAPUA PEGUNUNGAN,2023,5.53227397260274
PAPUA PEGUNUNGAN,2024,6.11587431693989
PAPUA PEGUNUNGAN,2025,15.31874643874644
PAPUA SELATAN,2010,14.136849315068492
PAPUA SELATAN,2011,12.60131506849315
PAPUA SELATAN,2012,14.199699453551913
PAPUA SELATAN,2013,11.610630136986302
PAPUA SELATAN,2014,10.605479452054794
PAPUA SELATAN,2015,6.9150684931506845
PAPUA SELATAN,2016,11.216775956284154
PAPUA SELATAN,2017,12.412
PAPUA SELATAN,2018,10.70454794520548
PAPUA SELATAN,2019,10.550301369863014
PAPUA SELATAN,2020,12.529781420765026
PAPUA SELATAN,2021,14.140904109589043
PAPUA SELATAN,2022,10.831808219178082
PAPUA SELATAN,2023,10.851780821917808
PAPUA SELATAN,2024,12.347513661202184
PAPUA SELATAN,2025,11.396980056980057
PAPUA TENGAH,2010,11.455808219178081
PAPUA TENGAH,2011,11.672328767123286
PAPUA TENGAH,2012,12.511448087431694
PAPUA TENGAH,2013,12.254191780821918
PAPUA TENGAH,2014,9.493835616438357
PAPUA TENGAH,2015,6.812493150684931
PAPUA TENGAH,2016,12.56549180327869
PAPUA TENGAH,2017,14.220849315068492
PAPUA TENGAH,2018,9.969561643835616
PAPUA TENGAH,2019,9.487780821917807
PAPUA TENGAH,2020,12.620163934426229
PAPUA TENGAH,2021,11.75882191780822
PAPUA TENGAH,2022,11.462876712328766
PAPUA TENGAH,2023,8.603095890410959
PAPUA TENGAH,2024,11.963469945355191
PAPUA TENGAH,2025,19.762735042735045
Papua,2010,7.7985205479452055
Papua,2011,8.360493150684931
Papua,2012,9.184098360655739
Papua,2013,9.065945205479453
Papua,2014,6.2338356164383555
Papua,2015,4.708027397260274
Papua,2016,7.328142076502732
Papua,2017,8.24909589041096
Papua,2018,7.066767123287671
Papua,2019,7.2041369863013704
Papua,2020,7.5348087431694
Papua,2021,7.2629315068493145
Papua,2022,6.50358904109589
Papua,2023,6.034
Papua,2024,7.280874316939891
Papua,2025,18.323703703703703
RIAU,2010,9.719698630136987
RIAU,2011,6.760027397260274
RIAU,2012,7.033715846994536
RIAU,2013,8.32682191780822
RIAU,2014,7.123698630136986
RIAU,2015,5.909479452054795
RIAU,2016,7.891775956284152
RIAU,2017,9.95509589041096
RIAU,2018,7.8443287671232875
RIAU,2019,5.731890410958904
RIAU,2020,6.814754098360655
RIAU,2021,8.686575342465753
RIAU,2022,9.277479452054793
RIAU,2023,7.7563013698630145
RIAU,2024,8.376366120218579
RIAU,2025,8.193646723646722
SULAWESI BARAT,2010,9.988027397260275
SULAWESI BARAT,2011,6.200301369863014
SULAWESI BARAT,2012,6.082158469945355
SULAWESI BARAT,2013,6.582821917808219
SULAWESI BARAT,2014,5.450630136986302
SULAWESI BARAT,2015,4.600027397260274
SULAWESI BARAT,2016,7.087814207650273
SULAWESI BARAT,2017,7.269890410958904
SULAWESI BARAT,2018,5.799205479452055
SULAWESI BARAT,2019,5.121945205479452
SULAWESI BARAT,2020,8.993032786885246
SULAWESI BARAT,2021,8.648630136986302
SULAWESI BARAT,2022,9.022602739726027
SULAWESI BARAT,2023,5.225397260273972
SULAWESI BARAT,2024,8.545437158469946
SULAWESI BARAT,2025,6.407407407407407
SULAWESI TENGAH,2010,7.1309589041095895
SULAWESI TENGAH,2011,6.454739726027397
SULAWESI TENGAH,2012,8.681311475409837
SULAWESI TENGAH,2013,7.3030410958904115
SULAWESI TENGAH,2014,7.154767123287672
SULAWESI TENGAH,2015,5.578191780821918
SULAWESI TENGAH,2016,7.5627868852459015
SULAWESI TENGAH,2017,6.9722191780821925
SULAWESI TENGAH,2018,5.365369863013698
SULAWESI TENGAH,2019,5.24386301369863
SULAWESI TENGAH,2020,8.46311475409836
SULAWESI TENGAH,2021,7.467178082191781
SULAWESI TENGAH,2022,7.768027397260274
SULAWESI TENGAH,2023,5.723123287671233
SULAWESI TENGAH,2024,8.148907103825136
SULAWESI TENGAH,2025,8.59980056980057
SULAWESI TENGGARA,2010,9.750054794520548
SULAWESI TENGGARA,2011,5.43931506849315
SULAWESI TENGGARA,2012,6.15139344262295
SULAWESI TENGGARA,2013,7.272602739726027
SULAWESI TENGGARA,2014,6.15441095890411
SULAWESI TENGGARA,2015,5.654054794520548
SULAWESI TENGGARA,2016,8.042185792349727
SULAWESI TENGGARA,2017,9.572191780821917
SULAWESI TENGGARA,2018,6.547753424657534
SULAWESI TENGGARA,2019,7.04282191780822
SULAWESI TENGGARA,2020,9.120409836065575
SULAWESI TENGGARA,2021,8.35041095890411
SULAWESI TENGGARA,2022,8.421835616438356
SULAWESI TENGGARA,2023,5.320054794520548
SULAWESI TENGGARA,2024,8.490655737704918
SULAWESI TENGGARA,2025,6.507920227920229
SULAWESI UTARA,2010,6.149123287671232
SULAWESI UTARA,2011,6.110054794520548
SULAWESI UTARA,2012,5.942868852459017
SULAWESI UTARA,2013,6.077698630136987
SULAWESI UTARA,2014,4.013835616438356
SULAWESI UTARA,2015,3.157260273972603
SULAWESI UTARA,2016,5.0622131147540985
SULAWESI UTARA,2017,7.866164383561644
SULAWESI UTARA,2018,5.956904109589041
SULAWESI UTARA,2019,3.4629041095890414
SULAWESI UTARA,2020,6.019781420765026
SULAWESI UTARA,2021,6.7812602739726024
SULAWESI UTARA,2022,7.3095616438356155
SULAWESI UTARA,2023,4.922356164383562
SULAWESI UTARA,2024,5.899754098360655
SULAWESI UTARA,2025,8.203931623931624
SUMATERA BARAT,2010,11.484602739726027
SUMATERA BARAT,2011,9.001013698630137
SUMATERA BARAT,2012,10.197568306010929
SUMATERA BARAT,2013,9.992109589041096
SUMATERA BARAT,2014,9.941917808219179
SUMATERA BARAT,2015,8.040904109589041
SUMATERA BARAT,2016,9.987131147540984
SUMATERA BARAT,2017,9.159671232876713
SUMATERA BARAT,2018,9.633890410958903
SUMATERA BARAT,2019,7.600739726027397
SUMATERA BARAT,2020,10.731120218579235
SUMATERA BARAT,2021,9.284575342465754
SUMATERA BARAT,2022,9.76186301369863
SUMATERA BARAT,2023,7.655424657534247
SUMATERA BARAT,2024,11.640710382513662
SUMATERA BARAT,2025,9.894358974358974
SUMATERA SELATAN,2010,10.03441095890411
SUMATERA SELATAN,2011,6.630602739726028
SUMATERA SELATAN,2012,7.744098360655738
SUMATERA SELATAN,2013,8.30868493150685
SUMATERA SELATAN,2014,5.558246575342466
SUMATERA SELATAN,2015,5.1845479452054795
SUMATERA SELATAN,2016,7.362349726775956
SUMATERA SELATAN,2017,7.332986301369863
SUMATERA SELATAN,2018,6.334958904109589
SUMATERA SELATAN,2019,6.070027397260274
SUMATERA SELATAN,2020,7.9140437158469945
SUMATERA SELATAN,2021,8.727287671232876
SUMATERA SELATAN,2022,7.879068493150685
SUMATERA SELATAN,2023,6.177643835616439
SUMATERA SELATAN,2024,7.558060109289618
SUMATERA SELATAN,2025,7.885612535612536
Sulawesi Selatan,2010,11.351205479452053
Sulawesi Selatan,2011,7.25841095890411
Sulawesi Selatan,2012,7.833360655737704
Sulawesi Selatan,2013,8.184027397260275
Sulawesi Selatan,2014,7.22504109589041
Sulawesi Selatan,2015,5.991643835616438
Sulawesi Selatan,2016,8.571748633879782
Sulawesi Selatan,2017,9.175561643835616
Sulawesi Selatan,2018,6.808109589041096
Sulawesi Selatan,2019,6.848657534246576
Sulawesi Selatan,2020,9.729508196721312
Sulawesi Selatan,2021,9.855972602739726
Sulawesi Selatan,2022,10.245835616438356
Sulawesi Selatan,2023,6.551561643835617
Sulawesi Selatan,2024,10.662814207650273
Sulawesi Selatan,2025,6.378575498575499
Sumatera Utara,2010,12.459041095890411
Sumatera Utara,2011,12.368328767123286
Sumatera Utara,2012,11.310027322404371
Sumatera Utara,2013,9.336246575342466
Sumatera Utara,2014,9.261232876712329
Sumatera Utara,2015,9.363917808219178
Sumatera Utara,2016,12.63863387978142
Sumatera Utara,2017,12.34027397260274
Sumatera Utara,2018,12.035561643835615
Sumatera Utara,2019,10.01158904109589
Sumatera Utara,2020,10.750519125683061
Sumatera Utara,2021,10.009342465753424
Sumatera Utara,2022,11.904301369863013
Sumatera Utara,2023,10.830109589041097
Sumatera Utara,2024,11.609535519125684
Sumatera Utara,2025,9.582877492877493
